ID	Count	Types	Full text	Languages	MIME types
09315_Ag_EU_JHN_GUF_jd	696	"TEXT";	"true";"false";	"mul";	"application/pdf";
09317_Ag_EU_JHN_GUF_rothschild	33	"TEXT";	"true";"false";	"mul";	"application/pdf";
09403_Ag_AT_ELocal	28429	"IMAGE";"3D";"TEXT";	"false";"true";	"mul";	"image/jpeg";"application/pdf";"application/xhtml+xml";"text/html";
0940401_Ag_PL_archiwummuzykiwiejskiej.pl	3190	"IMAGE";	"true";	"pl";	"image/jpeg";"text/html";
0940402_Ag_PL_bc.bdsandomierz.pl	1454	"TEXT";"IMAGE";	"false";"true";	"pl";	"application/pdf";"image/jpeg";"image/vnd.djvu";"image/png";"image/gif";"text/html";"text/plain";
0940403_Ag_PL_bc.dominikanie.pl	626	"TEXT";	"false";"true";	"pl";	"image/vnd.djvu";
0940404_Ag_PL_bc.klf.uw.edu.pl	102	"TEXT";	"false";"true";	"pl";	"text/html";"application/pdf";"text/plain";
0940405_Ag_PL_bcpw.bg.pw.edu.pl	6528	"TEXT";"IMAGE";	"false";"true";	"pl";	"application/pdf";"image/jpeg";"text/html";"text/plain";"image/gif";"image/png";"image/vnd.djvu";"application/xml";
0940406_Ag_PL_bc.wbp.lodz.pl	75484	"TEXT";"IMAGE";	"false";"true";	"pl";	"application/pdf";"image/jpeg";"image/png";
0940407_Ag_PL_biblioteka.kolbuszowa.pl	776	"TEXT";"IMAGE";	"true";"false";	"pl";	"text/html";
0940408_Ag_PL_cybra.lodz.pl	7414	"TEXT";"IMAGE";	"false";"true";	"pl";	"application/pdf";"image/png";"image/jpeg";"image/tiff";"text/html";"text/plain";"image/vnd.djvu";"video/mp4";"image/gif";
0940409_Ag_PL_cyfrowe.mnw.art.pl	22134	"IMAGE";"TEXT";"VIDEO";	"false";"true";	"pl";	"image/png";"image/jpeg";
0940410_Ag_PL_digital.fides.org.pl	1698	"TEXT";"IMAGE";"SOUND";	"false";"true";	"pl";	"application/pdf";"image/jpeg";"text/html";"text/plain";"image/png";"image/gif";"audio/mpeg";
0940411_Ag_PL_dlibra.bibliotekaelblaska.pl	32743	"TEXT";"IMAGE";	"false";"true";	"pl";	"application/pdf";"text/plain";"image/vnd.djvu";"image/jpeg";"application/rtf";
0940412_Ag_PL_dlibra.karta.org.pl	790	"IMAGE";"TEXT";	"false";"true";	"pl";	"image/jpeg";"image/tiff";
0940413_Ag_PL_ebuw.uw.edu.pl	304245	"TEXT";"IMAGE";	"false";"true";	"pl";	"image/gif";"application/pdf";"image/tiff";"image/jpeg";"text/plain";"image/png";"image/vnd.djvu";"text/html";
0940414_Ag_PL_jbc.jelenia-gora.pl	24127	"TEXT";"IMAGE";"VIDEO";"SOUND";	"false";"true";	"pl";	"application/pdf";"image/jpeg";"video/x-flv";"image/png";"text/html";"text/plain";"image/gif";"audio/mpeg";"image/tiff";"application/xml";
